"country","v30","v31","v22","v23","v24","v34","RC1","RC2","RC1.1","RC2.1","v21","v21d","TIME","gini_index","att_eco"
"Australia",3,3,4,3,4,4,10.1588560622914,5.6279503936305,10.1588560622914,5.6279503936305,3,0,"2018",0.325,15.7868064559219
"Australia",5,5,4,4,4,5,11.598393943168,9.13712225241734,11.598393943168,9.13712225241734,5,1,"2018",0.325,20.7355161955853
"Australia",2,2,1,4,4,2,7.53267442538787,3.5886384133767,7.53267442538787,3.5886384133767,3,0,"2018",0.325,11.1213128387646
"Australia",3,3,4,3,4,4,10.1588560622914,5.6279503936305,10.1588560622914,5.6279503936305,5,1,"2018",0.325,15.7868064559219
"Australia",4,3,3,4,3,3,8.96333198625083,6.48323483696052,8.96333198625083,6.48323483696052,3,0,"2018",0.325,15.4465668232113
"Australia",4,5,5,2,4,3,9.46767379469391,8.79555015819632,9.46767379469391,8.79555015819632,4,1,"2018",0.325,18.2632239528902
"Australia",3,3,2,2,5,3,7.99923145323339,5.56030324400341,7.99923145323339,5.56030324400341,4,1,"2018",0.325,13.5595346972368
"Australia",4,5,3,3,4,4,9.49579079942269,8.25420063829812,9.49579079942269,8.25420063829812,4,1,"2018",0.325,17.7499914377208
"Australia",2,2,3,4,3,3,8.93685275698899,3.69248034224887,8.93685275698899,3.69248034224887,4,1,"2018",0.325,12.6293330992379
"Australia",5,4,4,5,4,2,10.3971690440948,8.69784748250993,10.3971690440948,8.69784748250993,5,1,"2018",0.325,19.0950165266047
"Australia",5,5,4,5,1,4,9.83768158894081,9.12735157213223,9.83768158894081,9.12735157213223,4,1,"2018",0.325,18.965033161073
"Australia",3,4,2,4,5,4,10.167736382305,6.24252582883352,10.167736382305,6.24252582883352,4,1,"2018",0.325,16.4102622111386
"Australia",1,1,2,3,5,2,8.07058612727067,1.9787418267264,8.07058612727067,1.9787418267264,4,1,"2018",0.325,10.0493279539971
"Australia",5,5,5,5,4,5,13.0422695575821,9.26562180533433,13.0422695575821,9.26562180533433,5,1,"2018",0.325,22.3078913629164
"Australia",5,3,5,4,3,1,9.0503299859379,8.09434379147381,9.0503299859379,8.09434379147381,5,1,"2018",0.325,17.1446737774117
"Australia",4,5,4,4,4,4,10.9396664138368,8.38270019121511,10.9396664138368,8.38270019121511,4,1,"2018",0.325,19.3223666050519
"Australia",2,2,5,4,5,2,10.9086015167158,4.29719640114798,10.9086015167158,4.29719640114798,5,1,"2018",0.325,15.2057979178637
"Australia",4,4,3,4,5,4,10.8653638474073,7.3374082985268,10.8653638474073,7.3374082985268,5,1,"2018",0.325,18.2027721459341
"Australia",5,5,5,5,5,5,13.6644793010814,9.31540246445733,13.6644793010814,9.31540246445733,5,1,"2018",0.325,22.9798817655387
"Australia",2,2,2,2,1,2,4.84358197693323,3.67638032665993,4.84358197693323,3.67638032665993,3,0,"2018",0.325,8.51996230359316
"Australia",3,4,4,4,4,3,10.2728559115339,6.69789991036363,10.2728559115339,6.69789991036363,4,1,"2018",0.325,16.9707558218975
